Type,Name,Email,Phone,Website,Address,Specialty,Rating
Hotel,Four Seasons Resort Oahu at Ko Olina,info@fourseasons.com,(808) 679-0079,https://www.fourseasons.com/oahu/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-oah-hre-mid-seo-na&utm_content=na-na&utm_term=na,"92-1001 Olani St, Kapolei, HI 96707",,4.6
Hotel,Hampton Inn & Suites Oahu/Kapolei,info@hilton.com,(808) 730-0055,https://www.hilton.com/en/hotels/jrfhxhx-hampton-suites-oahu-kapolei/?SEO_id=GMB-AMER-HX-JRFHXHX&y_source=1_MzgxMDg5Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"91-5431 Kapolei Pkwy suite 900, Kapolei, HI 96707",,4.5
Hotel,Hawaii Island Resort,frontdesk@hawaiiislandresort.com,(808) 785-6456,https://www.hawaiiislandresort.com/,"94-6263 Kamaoa Rd Box 756, Naalehu, HI 96772",,4.5
Hotel,Hilton Garden Inn Waikiki Beach,info@hilton.com,(808) 892-1820,https://www.hilton.com/en/hotels/hnlkugi-hilton-garden-inn-waikiki-beach/?SEO_id=GMB-AMER-GI-HNLKUGI&y_source=1_MzM1NTMzNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"2330 Kūhiō Ave., Honolulu, HI 96815",,4.1
Hotel,Hilton Hawaiian Village Waikiki Beach Resort,info@hilton.com,(808) 949-4321,https://www.hilton.com/en/hotels/hnlhvhh-hilton-hawaiian-village-waikiki-beach-resort/?SEO_id=GMB-AMER-HH-HNLHVHH&y_source=1_NzIxNzUzLTcxNS1sb2NhdGlvbi53ZWJzaXRl,"2005 Kālia Rd, Honolulu, HI 96815",,4.2
Hotel,Hilton Waikiki Beach Resort & Spa,info@hilton.com,(808) 922-0811,https://www.hilton.com/en/hotels/hnlwahf-hilton-waikiki-beach-resort-and-spa/?SEO_id=GMB-AMER-HH-HNLWAHF&y_source=1_MTIyMDg1MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"2500 Kūhiō Ave., Honolulu, HI 96815",,4.0
Hotel,Holiday Inn Express Waikiki by IHG,reservations@hiexwaikiki.com,(808) 947-2828,https://www.ihg.com/holidayinnexpress/hotels/us/en/honolulu/hnlka/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-HNLKA,"2058 Kūhiō Ave., Honolulu, HI 96815",,3.9
Hotel,Hyatt Regency Waikiki Beach Resort and Spa,info@hyatt.com,(808) 923-1234,https://www.hyatt.com/hyatt-regency/en-US/hnlrw-hyatt-regency-waikiki-beach-resort-and-spa?src=corp_lclb_google_seo_hnlrw&utm_source=google&utm_medium=organic&utm_campaign=lmr,"2424 Kalākaua Ave, Honolulu, HI 96815",,4.3
Hotel,Kaimana Beach Hotel,info@kaimana.com,(808) 923-1555,https://www.kaimana.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,"2863 Kalākaua Ave, Honolulu, HI 96815",,4.4
Hotel,Ke Iki Beach Bungalows,info@keikibeach.com,(808) 638-8229,http://www.keikibeach.com/,"59-579 Ke Iki Rd, Haleiwa, HI 96712",,4.6
Hotel,Ko Olina Beach Villas Ocean Tower,reservations@beachvillaresort.com,(808) 726-2878,http://beachvillaresort.com/,"92-102 Waialii Pl, Kapolei, HI 96707",,4.8
Hotel,Ko Olina Resort,info@koolina.com,(808) 671-2512,http://koolina.com/,"92-1047 Olani St Unit 1206, Kapolei, HI 96707",,4.6
Hotel,Ko'olina,info@koolina.com,,http://koolina.com/,"92-161 Waipahe Pl, Kapolei, HI 96707",,4.4
Hotel,Marriott's Ko Olina Beach Club,info@marriott.com,(808) 679-4700,https://www.marriott.com/en-us/hotels/hnlko-marriotts-ko-olina-beach-club/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"Hawaii Tax ID # TA, 92-161 Waipahe Place, 070 692-2496 #03, Kapolei, HI 96707",,4.6
Hotel,"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach",info@marriott.com,(808) 922-3111,https://www.marriott.com/en-us/hotels/hnlwi-moana-surfrider-a-westin-resort-and-spa-waikiki-beach/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"2365 Kalākaua Ave, Honolulu, HI 96815",,4.4
Hotel,OUTRIGGER Reef Waikiki Beach Resort,info@outrigger.com,(808) 923-3111,https://www.outrigger.com/hawaii/oahu/outrigger-reef-waikiki-beach-resort,"2169 Kālia Rd, Honolulu, HI 96815",,4.5
Hotel,OUTRIGGER Waikīkī Paradise Hotel,info@outrigger.com,(808) 922-5353,https://www.outrigger.com/hawaii/oahu/outrigger-waikiki-paradise-hotel,"150 Kaʻiulani Ave, Honolulu, HI 96815",,4.0
Hotel,Ohia Waikiki Studio Suites,aloha@ohiawaikiki.com,(808) 926-6442,https://www.ohiawaikiki.com/?utm_source=GMB&utm_medium=listing&utm_campaign=GMB,"2280 Kūhiō Ave., Honolulu, HI 96815",,3.1
Hotel,Outrigger Waikiki Beach Resort,info@outriggerwaikikihotel.com,(808) 923-0711,https://www.outriggerwaikikihotel.com/,"2335 Kalākaua Ave, Honolulu, HI 96815",,4.5
Hotel,Pacific Marina Inn,aloha@pacificmarinainn.com,(808) 836-1131,https://www.pacificmarinainn.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"2628 Waiwai Loop, Honolulu, HI 96819",,3.3
Hotel,Pagoda Hotel,reservations@pagodahotel.com,(808) 941-6611,https://www.pagodahotel.com/?utm_source=google-gbl&utm_medium=organic&utm_campaign=website-gbl,"1525 Rycroft St, Honolulu, HI 96814",,3.7
Hotel,Park Shore Waikiki Hotel,info@parkshorewaikiki.com,(808) 923-0411,http://www.parkshorewaikiki.com/,"2586 Kalākaua Ave, Honolulu, HI 96815",,4.2
Hotel,Residence Inn by Marriott Oahu Kapolei,info@marriott.com,(808) 674-4480,https://www.marriott.com/en-us/hotels/hnlri-residence-inn-oahu-kapolei/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"731 Kunehi St, Kapolei, HI 96707",,4.1
Hotel,Royal Kona Resort,info@royalkona.com,(808) 329-3111,https://www.royalkona.com/?utm_source=gmb+listing&utm_medium=organic,"75-5852 Ali‘i Dr, Kailua-Kona, HI 96740",,4.1
Hotel,Sheraton Princess Kaiulani Waikiki Beach,info@marriott.com,(808) 922-5811,https://www.marriott.com/en-us/hotels/hnlks-sheraton-princess-kaiulani-waikiki-beach/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"120 Kaʻiulani Ave, Honolulu, HI 96815",,3.9
Hotel,Sheraton Waikiki Beach Resort,info@marriott.com,(808) 922-4422,https://www.marriott.com/en-us/hotels/hnlws-sheraton-waikiki-beach-resort/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"2255 Kalākaua Ave, Honolulu, HI 96815",,4.4
Hotel,Stay Hotel Waikiki,res@stayhotelwaikiki.com,(808) 923-7829,http://www.stayhotelwaikiki.com/,"2424 Koa Ave, Honolulu, HI 96815",,3.5
Hotel,The Kahala Hotel & Resort,info@kahalaresort.com,(808) 369-9471,https://www.kahalaresort.com/?nck=8083699471&utm_source=Google&utm_medium=GMB&utm_campaign=resort,"Kahala Resort, 5000 Kahala Ave #5000, Honolulu, HI 96816",,4.6
Hotel,"The Ritz-Carlton O‘ahu, Turtle Bay",info@ritzcarlton.com,(808) 293-6000,https://www.ritzcarlton.com/en/hotels/hnlkz-the-ritz-carlton-oahu-turtle-bay/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"57-091 Kamehameha Hwy, Kahuku, HI 96731",,4.5
Hotel,"The Royal Hawaiian, a Luxury Collection Resort, Waikiki",info@marriott.com,(808) 923-7311,https://www.marriott.com/en-us/hotels/hnllc-the-royal-hawaiian-a-luxury-collection-resort-waikiki/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"2259 Kalākaua Ave, Honolulu, HI 96815",,4.4
Hotel,The Twin Fin Hotel,info@twinfinwaikiki.com,(808) 922-2511,https://www.twinfinwaikiki.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,"2570 Kalākaua Ave, Honolulu, HI 96815",,4.0
Hotel,Waikiki Beach Marriott Resort & Spa,info@marriott.com,(808) 922-6611,https://www.marriott.com/en-us/hotels/hnlmc-waikiki-beach-marriott-resort-and-spa/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"2552 Kalākaua Ave, Honolulu, HI 96815",,4.3
Hotel,Waikiki Heritage Hotel,reservations@waikikiheritagehotel.com,(808) 260-1061,https://www.waikikiheritagehotel.com/,"260 Beach Walk #101, Honolulu, HI 96815",,2.8
Hotel,Waikiki Resort Hotel,info@waikikiresort.com,(808) 922-4911,https://www.waikikiresort.com/,"2460 Koa Ave, Honolulu, HI 96815",,4.0
Hotel,‘Alohilani Resort Waikiki Beach,info@alohilaniresort.com,(808) 922-1233,https://www.alohilaniresort.com/,"2490 Kalākaua Ave, Honolulu, HI 96815",,4.1
architect,AHL (Architects Hawaii Ltd.),talk.generalinfo@ahl.designmedia,(808) 523-9636,http://www.ahl.design/,"733 Bishop St #3100, Honolulu, HI 96813",commercial design,5.0
architect,American Institute of Architects,contact@aiahonolulu.org,(808) 628-7243,http://www.aiahonolulu.org/,"828 Fort Street Mall #100, Honolulu, HI 96813",commercial design,5.0
architect,Architects Pacific Inc,api@architectspacificinc.com,(808) 737-8853,http://architectspacificinc.com/,"938 Kapahulu Ave, Honolulu, HI 96816",commercial design,5.0
architect,Benjamin Woo Architects,admin@bwa-hi.com,(808) 591-6616,http://bwa-hi.com/,"600 Kapiolani Blvd., The One Kapi'olani Building, 600 Kapiolani Blvd Suite 402B, Honolulu, HI 96813",commercial design,5.0
architect,Dean Sakamoto Architects LLC/SHADE,96817info@dsarch.netTel,(808) 591-5558,http://www.dsarch.net/,"99 N King St, Honolulu, HI 96817",commercial design,5.0
architect,Design Partners Incorporated,info@designpartnersinc.com,(808) 949-0044,https://www.designpartnersinc.com/,"560 Halekauwila St, Honolulu, HI 96813",commercial design,4.0
architect,District Architecture + Design,info@districtarchitects.comphone,(808) 282-6712,https://www.districtarchitects.com/,"735 Bishop St Suite 230, Honolulu, HI 96813",commercial design,
architect,FAI Architects,info@fai-architects.com,(808) 941-3000,http://www.fai-architects.com/,"1600 Kapiolani Blvd # 1700, Honolulu, HI 96814",architecture,3.0
architect,FSC Architects,info@fscarchitects.com,(808) 352-5299,http://www.fscarchitects.com/,"Pacific Guardian Center, Mauka Tower, 737 Bishop St Suite 1860, Honolulu, HI 96813",commercial design,5.0
architect,Ferraro Choi And Associates Ltd.,info@ferrarochoi.com,(808) 533-8880,http://www.ferrarochoi.com/,"1240 Ala Moana Blvd #510, Honolulu, HI 96814",commercial design,5.0
architect,"Fritz Johnson, Inc.",info@fritzjohnsoninc.com,(808) 536-2767,http://fritzjohnsoninc.com/,"31 N King St Suite 2, Honolulu, HI 96817",commercial design,5.0
architect,"Hawaii Architects, Welch and Weeks LLC",96813WELCHANDWEEKSINFO@GMAIL.COMMailing,(808) 585-8522,http://welchandweeks.com/,"1 Aloha Tower Dr, Honolulu, HI 96813",commercial design,5.0
architect,"InForm Design, Inc.",info@inform.design,(808) 946-3676,https://inform.design/,"1357 Kapiolani Blvd #850, Honolulu, HI 96814",architecture,5.0
architect,Lapis Design Partners,info@lapishawaii.com,(808) 545-4000,https://www.lapishawaii.com/,"1188 Bishop St STE 2506, Honolulu, HI 96813",architecture,5.0
architect,Longhouse Design+Build,email@lai-hawaii.com,(808) 521-1467,http://www.longhousehawaii.com/,"1100 Alakea St STE 300, Honolulu, HI 96813",commercial design,5.0
architect,MGA Architecture LLC,info@mgahawaii.com,(808) 791-7171,http://mgahawaii.com/,"677 Ala Moana Blvd Suite 705, Honolulu, HI 96813",architecture,3.7
architect,Mason Architects Inc,info@masonarch.com,(808) 536-0556,http://www.masonarch.com/,"119 Merchant St #501, Honolulu, HI 96813",commercial design,5.0
architect,Next Design,mail@nextdesignllc.com,(808) 440-2780,http://nextdesignllc.com/,"1003 Bishop St # 2000, Honolulu, HI 96813",commercial design,4.3
architect,Omizu Architecture,info@omizuarch.com,(808) 589-2020,https://omizuarch.com/,"615 Piikoi St #501, Honolulu, HI 96814",architecture,5.0
architect,Prowork Pacific Inc.,info@proworkpacific.com,(808) 304-8871,https://www.proworkpacific.com/,"100 N Beretania St Suite 114, Honolulu, HI 96817",commercial design,5.0
architect,RMA Architects Inc.,info@rmaia-architects.com,(808) 591-1818,https://rmaia-architects.com/,"1150 S King St # 800, Honolulu, HI 96814",commercial design,4.5
architect,WCIT Architecture,info@wcit.com,(808) 592-2345,http://www.wcitarch.com/,"725 Kapiolani Blvd, Honolulu, HI 96813",commercial design,5.0
architect,"WhiteSpace Architects, Inc.",communications@whitespacearchitects.com,(808) 596-0260,http://www.whitespacearchitects.com/,"4747 Kilauea Ave #201, Honolulu, HI 96816",commercial design,5.0
architect,hiarchy llp,info@hiarchy.net,(808) 721-3411,http://www.hiarchy.net/,"1188 Fort Street Mall #201, Honolulu, HI 96813",commercial design,5.0
casino,Blue Note Hawaii,info@bluenotehawaii.com,(808) 777-4890,http://www.bluenotehawaii.com/,"2335 Kalākaua Ave, Honolulu, HI 96815",gaming,4.4
casino,Go Tours Hawaii,info@gotourshawaii.com,(808) 926-3090,http://gotourshawaii.com/,"2500 Kalākaua Ave E, Honolulu, HI 96815",gaming,4.9
casino,Hawaii Okinawa Center Legacy Ballroom,ClosedEmailinfo@huoa.org,(808) 676-5400,http://huoa.org/,"94-587 Ukeʻe Street, Waipahu, HI 96797",gaming,4.6
casino,Hilton Hawaiian Village Waikiki Beach Resort,info@hilton.com,(808) 949-4321,https://www.hilton.com/en/hotels/hnlhvhh-hilton-hawaiian-village-waikiki-beach-resort/?SEO_id=GMB-AMER-HH-HNLHVHH&y_source=1_NzIxNzUzLTcxNS1sb2NhdGlvbi53ZWJzaXRl,"2005 Kālia Rd, Honolulu, HI 96815",gaming,4.2
casino,Hilton Waikiki Beach Resort & Spa,info@hilton.com,(808) 922-0811,https://www.hilton.com/en/hotels/hnlwahf-hilton-waikiki-beach-resort-and-spa/?SEO_id=GMB-AMER-HH-HNLWAHF&y_source=1_MTIyMDg1MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"2500 Kūhiō Ave., Honolulu, HI 96815",gaming,4.0
casino,Jungle Fun Island,marketing@funfactoryinc.com,(808) 949-4905,https://www.funfactorygames.com/oahu/jungle-fun-island,"1450 Ala Moana Blvd #1218, Honolulu, HI 96814",gaming,4.1
casino,Lucky Strike Honolulu,23111GuestService@BowleroCorp.comEvent,(808) 664-1140,https://www.luckystrikeent.com/location/lucky-strike-honolulu?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listings,"1450 Ala Moana Blvd Suite 3260, Honolulu, HI 96814",gaming,4.2
casino,Majestic by Atlantis Cruises,info@majestichawaii.com,(808) 973-9811,https://majestichawaii.com/,"301 Aloha Tower Drive, Pier 6, Honolulu, HI 96813",gaming,4.4
casino,OUTRIGGER Reef Waikiki Beach Resort,info@outrigger.com,(808) 923-3111,https://www.outrigger.com/hawaii/oahu/outrigger-reef-waikiki-beach-resort,"2169 Kālia Rd, Honolulu, HI 96815",gaming,4.5
casino,Outrigger Waikiki Beach Resort,info@outriggerwaikikihotel.com,(808) 923-0711,https://www.outriggerwaikikihotel.com/,"2335 Kalākaua Ave, Honolulu, HI 96815",gaming,4.5
casino,Pagoda Hotel,reservations@pagodahotel.com,(808) 941-6611,https://www.pagodahotel.com/?utm_source=google-gbl&utm_medium=organic&utm_campaign=website-gbl,"1525 Rycroft St, Honolulu, HI 96814",gaming,3.7
casino,Paradise Bay Resort,info@paradisebayresort.com,(808) 239-5711,http://www.paradisebayresort.com/,"47-039 Lihikai Dr, Kaneohe, HI 96744",gaming,4.2
casino,Prince Waikiki,info@princewaikiki.com,(855) 622-7558,https://www.princewaikiki.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,"100 Holomoana St 3rd Floor, Honolulu, HI 96815",gaming,4.5
casino,Regal Dole Cannery,info@regmovies.com,(844) 462-7342,https://www.regmovies.com/theatres/regal-dole-cannery-1828?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"735 B Iwilei Rd, Honolulu, HI 96817",gaming,4.1
casino,Star of Honolulu,reservations@royalstarhawaii.com,(808) 983-7730,https://starofhonolulu.com/,"Aloha Tower Marketplace, Pier 8, 1 Aloha Tower Dr, Honolulu, HI 96813",gaming,4.4
casino,The Orleans - Casino Marketing,info@orleanscasino.com,(808) 951-7111,http://www.orleanscasino.com/,"1585 Kapiolani Blvd, Honolulu, HI 96814",gaming,5.0
casino,Waikiki Monarch Hotel,info@waikikimonarchhotel.com,(808) 945-3444,http://waikikimonarchhotel.com/,"444 Niu St, Honolulu, HI 96815",gaming,3.4
casino,Waikiki Resort Hotel,info@waikikiresort.com,(808) 922-4911,https://www.waikikiresort.com/,"2460 Koa Ave, Honolulu, HI 96815",gaming,4.0
casino,Waikīkī Grand Hotel®,info@thewgh.com,(808) 923-1511,https://www.waikikigrandhotel.com/,"134 Kapahulu Ave, Honolulu, HI 96815",gaming,3.9
casino,Waiʻalae Country Club,info@waialaecc.com,(808) 734-2151,https://waialaecc.com/,"4997 Kahala Ave, Honolulu, HI 96816",gaming,4.5
construction,Atlas Construction Inc.,info@atlasconstruction808.com,(808) 951-9500,https://atlasconstruction808.com/,"2222 Kamehameha Hwy, Honolulu, HI 96819",new construction,4.6
construction,Beyond Builders,Projects@bb-hi.comOr,(808) 202-4619,https://bb-hi.com/,"835 Kawaiaha‘o St Suite 3, Honolulu, HI 96813",new construction,4.8
construction,Ching Construction,chingcrew@chingconstruction.comLicensing,(808) 842-1844,http://www.chingconstruction.com/,"730 Moowaa St D, Honolulu, HI 96817",new construction,4.5
construction,Constructors Hawaii Inc.,Usinfo@constructorshawaii.com,(808) 848-2455,http://www.constructorshawaii.com/,"1728 Kahai St, Honolulu, HI 96819",new construction,3.5
construction,Fu Long Construction,info@flchawaii.com,(808) 589-7777,http://flchawaii.com/,"1095 Dillingham Blvd Suite 108, Honolulu, HI 96817",new construction,4.7
construction,General Contractors Oahu,info@oahugeneralcontractors.com,(808) 707-8817,http://www.oahugeneralcontractors.com/,"2649 Waolani Ave, Honolulu, HI 96817",new construction,5.0
construction,"Graham Builders, Inc.",ClientCare@grahambuilders.com,(808) 593-2808,http://www.grahambuilders.com/,"1144 Young St, Honolulu, HI 96814",new construction,4.6
construction,"H-1 Construction, LLC",info@h1constructionhawaii.com,(808) 723-1588,https://www.h1constructionhawaii.com/,"868 Puuomao St, Honolulu, HI 96825",new construction,4.4
construction,HK Construction,in**@*******ii.com,(808) 841-1800,http://hkchawaii.com/,"2046 S King St, Honolulu, HI 96826",new construction,4.3
construction,Hawaiian Dredging Construction Company,DDR5hotline@dhojv.com,(808) 735-3211,https://www.hdcc.com/,"605 Kapiolani Blvd, Honolulu, HI 96813",new construction,4.6
construction,"Homeworks Construction, Inc.",info@homeworkshawaii.com,(808) 955-2777,https://homeworkshawaii.com/,"2111 S Beretania St., Honolulu, HI 96826",new construction,4.9
construction,Kokua Construction,info@kokuaconstruction.com,(808) 343-9349,https://www.kokuaconstruction.com/,"922 Austin Ln, Honolulu, HI 96817",new construction,5.0
construction,Nan Inc,info@nanhawaii.com,(808) 842-4929,http://www.nanhawaii.com/,"636 Laumaka St, Honolulu, HI 96819",new construction,4.6
construction,"Nordic PCL Construction, Inc.",info@pcl.com,(808) 541-9101,https://www.pcl.com/us/en/who-we-are/our-offices/nordic-pcl-construction,"1099 Alakea St STE 1600, Honolulu, HI 96813",new construction,4.6
construction,"Ohana Construction, Inc.",info@ohanaconstruction.com,(808) 374-5855,http://www.ohanaconstruction.com/,"2144 Kauhana St, Honolulu, HI 96816",new construction,4.8
construction,Ralph S Inouye Co Ltd,info@rsinouye.com,(808) 839-9002,https://www.rsinouye.com/,"500 Alakawa St rm 220e, Honolulu, HI 96817",new construction,4.2
construction,"S. Tanaka Construction, LLC",info@stanakaconstruction.com,(808) 848-5010,http://stanakaconstruction.com/,"1349 Mookaula St, Honolulu, HI 96817",new construction,5.0
construction,"Solid Built Construction, Inc",apply.Lex@solidbuilthomes.comSolid,(808) 785-3612,http://www.solidbuilthomes.com/,"469 Kekupua St, Honolulu, HI 96825",new construction,5.0
construction,Tal Builders,info@talbuilders.com,(808) 501-9916,https://www.talbuilders.com/,"439 Kamani St #200, Honolulu, HI 96813",new construction,4.7
developer,ALOHA HOMES,info@alohahomesagents.com,(808) 393-9966,http://www.alohahomesagents.com/,"91-1121 Keaunui Dr Suite 108/ #190, Ewa Beach, HI 96706",development,4.9
developer,Damon Hawaii Pacific International Properties - Best Residential & Commercial Real Estate Agents and Realtor in Honolulu,damon@hawaiidamon.com,(808) 358-2331,http://live.hawaiidamon.com/,"1050 Queen St # 100, Honolulu, HI 96814",development,5.0
developer,Hawai'i Americana Realty,info@shopoahuproperties.com,(808) 791-2923,http://shopoahuproperties.com/?utm_source=Yext%20GMB&utm_medium=Organic&utm_campaign=Yext,"134 Kapahulu Ave B, Honolulu, HI 96815",development,4.5
developer,Hawaii Home Buyers,Info@hawaiihomebuyerz.com,(808) 444-3039,https://www.hawaiihomebuyerz.com/,"581 Kamoku St Apartment 3704, Honolulu, HI 96826",development,5.0
developer,Hawaii Property Advisors,clients@hpahomes.com,(808) 223-9222,https://www.hpahomes.com/,"500 Ala Moana Blvd ste 7-400, Honolulu, HI 96813",development,5.0
developer,Hawaii Sands Realty,info@hawaiisands.com,(808) 664-3084,http://www.hawaiisands.com/,"1888 Kalākaua Ave Suite C-312, Honolulu, HI 96815",development,4.9
developer,Howard Richmond-Richmond Realty Hawaii,info@richmondrealtyhawaii.com,(808) 284-1004,http://richmondrealtyhawaii.com/,"500 Lunalilo Home Rd APT 13D, Honolulu, HI 96825",development,4.8
developer,Jill M Ward | Homes of Hawai'i Real Estate,jillward808@gmail.com,(808) 783-0183,http://www.jillward808.com/,"315 Uluniu St #201a, Kailua, HI 96734",development,5.0
developer,Jinshi Hawaii Development LTD.,info@goldenlionus.com,(808) 388-3096,http://goldenlionus.com/,"1188 Bishop St STE 2003, Honolulu, HI 96813",development,1.0
developer,"Kaleo Ahina Realtor - Engel & Völkers Honolulu Kahala Best Real Estate Agent in Kailua, Hawaii",kaleo@hawaiirealtygrp.com,(808) 542-6744,http://www.hawaiirealtygrp.com/,"4210 Waialae Ave #119, Honolulu, HI 96816",development,5.0
developer,"Kimi Correa Broker LUVA Real Estate Kailua, Oahu",info@kimicorrea.realtor,(808) 222-3047,http://www.kimicorrea.realtor/,"970 N Kalaheo Ave a110, Kailua, HI 96734",development,5.0
developer,Kinga Mills Hawaii | Oahu Real Estate | eXp Realty,info@kingamills.com,(808) 722-3985,http://www.kingamills.com/,"500 Ala Moana Blvd ste 7-400, Honolulu, HI 96813",development,5.0
developer,Lux Properties Hawaii - Michelle Wood Realtor,USAmichellewood@hawaiilife.comLicense,(808) 218-2899,http://www.luxurypropertieshawaii.com/,"2863 Kalākaua Ave #6, Honolulu, HI 96815",development,5.0
developer,Luxury Big Island Hawaii Luxury Real Estate,harold@luxurybigisland.com,(808) 201-4686,https://luxurybigisland.com/?utm_source=Google&utm_medium=GBP&utm_campaign=Google+,"1003 Bishop St, Honolulu, HI 96813",development,5.0
developer,MacNaughton,info@macnaughton.com,(808) 545-7722,https://www.macnaughton.com/,"1288 Ala Moana Blvd # 208, Honolulu, HI 96814",development,5.0
developer,Mark Development Inc,properties@mdihawaii.com,(808) 735-9099,https://www.mdihawaii.com/,"3165 Waialae Ave #200, Honolulu, HI 96816",development,3.1
developer,"Staci Wolff - Big Island and Oahu, Hawaii's Favorite Real Estate Agent - Brokered by Real Broker",staci@staciwolff.com,(808) 208-3785,http://starcfrolic.com/,"500 Ala Moana Blvd ste 7-400, Honolulu, HI 96813",development,5.0
developer,Team Wong - Hawaii Real Estate,info@teamwonghawaii.com,(808) 306-7242,http://teamwonghawaii.com/,"46 Hoolai St Suite D, Kailua, HI 96734",development,5.0
developer,The Ihara Team,dani@iharateam.com,(808) 754-2225,https://iharateamhawaii.com/,"1347 Kapiolani Blvd 3rd floor, Honolulu, HI 96814",development,5.0
general_contractor,Atlas Construction Inc.,info@atlasconstruction808.com,(808) 951-9500,https://atlasconstruction808.com/,"2222 Kamehameha Hwy, Honolulu, HI 96819",construction,4.6
general_contractor,Beyond Builders,Projects@bb-hi.comOr,(808) 202-4619,https://bb-hi.com/,"835 Kawaiaha‘o St Suite 3, Honolulu, HI 96813",construction,4.8
general_contractor,Constructors Hawaii Inc.,Usinfo@constructorshawaii.com,(808) 848-2455,http://www.constructorshawaii.com/,"1728 Kahai St, Honolulu, HI 96819",commercial,3.5
general_contractor,Diamond Head Construction LLC,dhcxiao@gmail.combottom,(808) 679-6281,https://www.diamondheadconstructionllc.com/,"702 6th Ave, Honolulu, HI 96816",construction,5.0
general_contractor,Fu Long Construction,info@flchawaii.com,(808) 589-7777,http://flchawaii.com/,"1095 Dillingham Blvd Suite 108, Honolulu, HI 96817",construction,4.7
general_contractor,General Contractors Oahu,info@oahugeneralcontractors.com,(808) 707-8817,http://www.oahugeneralcontractors.com/,"2649 Waolani Ave, Honolulu, HI 96817",construction,5.0
